Paper title,Paper link,Year of publishing,Number of citations,Keywords,Relevant for study,Duplicate,Reviewer,Applicable/Non Applicable,Reason for choosing/ not choosing the research paper
Cache-coherent accelerators for persistent memory crash consistency,https://dl.acm.org/doi/abs/10.1145/3538643.3539752,2022,12,"""Optane"" ""Data+Structure""",Yes,,,,
"Michael Henneckel (), Jeff Olivier², Tom Nabarro³, Liang Zhen¹®.",https://books.google.com/books?hl=en&lr=&id=XPPSEAAAQBAJ&oi=fnd&pg=PA353&dq=%27optane%27+%2B+%27data+structure%27&ots=TnJ9voBnjE&sig=NUrbunrUFFVeoLhESLIubs2ysTA,2023,0,"""Optane"" ""Data+Structure""",Yes,,,,
Cascade lake: Next generation intel xeon scalable processor,https://ieeexplore.ieee.org/abstract/document/8641463/,2019,97,"""Optane"" ""Data+Structure""",Yes,,,,
A High-Performance Persistent Memory Key-Value Store with Near-Memory Compute,https://arxiv.org/abs/2104.06225,2021,0,"""Optane"" ""Data+Structure""",Yes,,,,
Accelerating In Situ Analysis using Non-volatile Memory,https://dl.acm.org/doi/abs/10.1145/3624062.3624176,2023,1,"""Optane"" ""Data+Structure""",Yes,,,,
NV-QALSH: An NVM-optimized implementation of query-aware locality-sensitive hashing,https://link.springer.com/chapter/10.1007/978-3-030-86475-0_6,2021,4,"""Optane"" ""Data+Structure""",Yes,,,,
MD-HM: memoization-based molecular dynamics simulations on big memory system,https://dl.acm.org/doi/abs/10.1145/3447818.3460365,2021,26,"""Optane"" ""Data+Structure""",Yes,,,,
PFtree: Optimizing Persistent Adaptive Radix Tree for PM Systems on eADR Platform,https://link.springer.com/chapter/10.1007/978-3-031-30637-2_4,2023,1,"""Optane"" ""Data+Structure""",Yes,,,,
Persistent memory I/O primitives,https://dl.acm.org/doi/abs/10.1145/3329785.3329930,2019,126,"""Optane"" ""Data+Structure""",Yes,,,,
Evaluating persistent memory range indexes,https://dl.acm.org/doi/abs/10.14778/3372716.3372728,2019,139,"""Optane"" ""Data+Structure""",Yes,,,,
Dash: Scalable hashing on persistent memory,https://arxiv.org/abs/2003.07302,2003,183,"""Optane"" ""Data+Structure""",No,,,,
Memory-Awareness: Boosting NVM Energy Efficiency and Endurance,http://nvmw.ucsd.edu/nvmw2024-program/nvmw2024-paper37-final_version_your_extended_abstract.pdf,,0,"""Optane"" ""Data+Structure""",No,,,,
"Tiered Storage in Modern Key-Value Stores: Performance, Storage-Efficiency, and Cost-Efficiency Considerations",https://ieeexplore.ieee.org/abstract/document/10488241/,2024,3,"""Optane"" ""Data+Structure""",Yes,,,,
A survey of non-volatile main memory file systems,https://link.springer.com/article/10.1007/s11390-023-1054-3,2023,3,"""Optane"" ""Data+Structure""",Yes,,,,
{NVLeak}:{Off-Chip}{Side-Channel} Attacks via {Non-Volatile} Memory Systems,https://www.usenix.org/conference/usenixsecurity23/presentation/wang-zixuan,2023,25,"""Optane"" ""Data+Structure""",Yes,,,,
A Framework for Managing Heterogeneous Memory for Large Scale Machine Learning Workloads,https://search.proquest.com/openview/7fe6bb932a493abadd55a6f850efacf5/1?pq-origsite=gscholar&cbl=18750&diss=y,2022,0,"""Optane"" ""Data+Structure""",Yes,,,,
